1,1221yr,1221羊绒,0,260,420,null,2013-11-01 00:00:00
2,2128,浅尚2128,0,228,280,null,2013-11-01 00:00:00
3,61129,欧祺61129,0,75,88,null,2013-11-01 00:00:00
4,8116,8116,0,113,140,null,2013-11-01 00:00:00
5,DY1197,得仪1197,0,0,130,null,2013-11-01 00:00:00
6,HW8858,虎旺8858,0,178,220,null,2013-11-01 00:00:00
7,YS6602,英尚6602,0,95,115,null,2013-11-01 00:00:00
8,abk,奥贝酷,0,0,25,null,2013-11-01 00:00:00
9,aem8013,爱尔美8013,0,48,65,null,2013-11-01 00:00:00
10,aey2079,艾尔雅2079,0,0,210,null,2013-11-01 00:00:00
11,af1226,爱枫1226,0,95,110,null,2013-11-01 00:00:00
12,af16881,爱枫16881,0,60,73,null,2013-11-01 00:00:00
13,af18805,爱枫18805,0,70,85,null,2013-11-01 00:00:00
14,af201,爱枫201,0,45,0,null,2013-11-01 00:00:00
15,af202,爱枫202,0,45,0,null,2013-11-01 00:00:00
16,af2023,爱枫2023,0,75,88,null,2013-11-01 00:00:00
17,af203,爱枫203,0,68,82,null,2013-11-01 00:00:00
18,af23,爱枫23,0,90,115,null,2013-11-01 00:00:00
19,af26819,爱枫26819,0,70,80,null,2013-11-01 00:00:00
20,af26821,爱枫26821,0,70,85,null,2013-11-01 00:00:00
21,af28,爱枫28,0,90,115,null,2013-11-01 00:00:00
22,af2818,爱枫2818,0,68,80,null,2013-11-01 00:00:00
23,af2932,爱枫2932,0,65,78,null,2013-11-01 00:00:00
24,af2933,爱枫2933,0,65,78,null,2013-11-01 00:00:00
25,af2935羊毛,爱枫2935羊毛,0,74,88,null,2013-11-01 00:00:00
26,af2935羊绒,爱枫2935羊绒,0,65,78,null,2013-11-01 00:00:00
27,af2937,爱枫2937,0,95,110,null,2013-11-01 00:00:00
28,af2938,爱枫2938,0,65,78,null,2013-11-01 00:00:00
29,af29903,爱枫29903,0,78,82,null,2013-11-01 00:00:00
30,af29905,爱枫29905,0,78,82,null,2013-11-01 00:00:00
31,af29908,爱枫29908,0,78,82,null,2013-11-01 00:00:00
32,af29911,爱枫29911,0,78,90,null,2013-11-01 00:00:00
33,af29918,爱枫29918,0,78,82,null,2013-11-01 00:00:00
34,af3156,爱枫3156,0,72,85,null,2013-11-01 00:00:00
